EMA_SHORT_PERIOD,EMA_LONG_PERIOD,RSI_PERIOD,MOMENTUM_BOOST_MULTIPLIER,KELLY_MAX_CAP,sharpe_ratio,cumulative_return,annualized_return,annualized_volatility,max_drawdown,success
2,4,3,6.0,0.95,3.819096882625956,15.58403178924711,0.32439469286692924,0.08494015806267793,-0.10564625771496128,True
2,4,3,7.5,0.99,3.819096882625956,15.58403178924711,0.32439469286692924,0.08494015806267793,-0.10564625771496128,True
2,4,3,9.0,0.99,3.819096882625956,15.58403178924711,0.32439469286692924,0.08494015806267793,-0.10564625771496128,True
2,4,3,9.0,0.95,3.819096882625956,15.58403178924711,0.32439469286692924,0.08494015806267793,-0.10564625771496128,True
2,4,3,7.5,0.95,3.819096882625956,15.58403178924711,0.32439469286692924,0.08494015806267793,-0.10564625771496128,True
2,4,3,6.0,0.99,3.819096882625956,15.58403178924711,0.32439469286692924,0.08494015806267793,-0.10564625771496128,True
2,4,4,6.0,0.95,3.805057076243918,15.483982420840313,0.32359320691033755,0.08504293113778093,-0.10564625771496017,True
2,4,4,6.0,0.99,3.805057076243918,15.483982420840313,0.32359320691033755,0.08504293113778093,-0.10564625771496017,True
2,4,4,7.5,0.95,3.805057076243918,15.483982420840313,0.32359320691033755,0.08504293113778093,-0.10564625771496017,True
2,4,4,9.0,0.99,3.805057076243918,15.483982420840313,0.32359320691033755,0.08504293113778093,-0.10564625771496017,True
2,4,4,7.5,0.99,3.805057076243918,15.483982420840313,0.32359320691033755,0.08504293113778093,-0.10564625771496017,True
2,4,4,9.0,0.95,3.805057076243918,15.483982420840313,0.32359320691033755,0.08504293113778093,-0.10564625771496017,True
2,4,5,6.0,0.95,3.7984515814116278,15.413397046008726,0.3230251160935911,0.08504126199064106,-0.10564625771496083,True
2,4,5,7.5,0.99,3.7984515814116278,15.413397046008726,0.3230251160935911,0.08504126199064106,-0.10564625771496083,True
2,4,5,6.0,0.99,3.7984515814116278,15.413397046008726,0.3230251160935911,0.08504126199064106,-0.10564625771496083,True
2,4,5,7.5,0.95,3.7984515814116278,15.413397046008726,0.3230251160935911,0.08504126199064106,-0.10564625771496083,True
2,4,5,9.0,0.95,3.7984515814116278,15.413397046008726,0.3230251160935911,0.08504126199064106,-0.10564625771496083,True
2,4,5,9.0,0.99,3.7984515814116278,15.413397046008726,0.3230251160935911,0.08504126199064106,-0.10564625771496083,True
3,4,3,6.0,0.95,3.6336694180758466,13.300074515243848,0.30490740310249476,0.08391170687837468,-0.10275693882959713,True
3,4,3,6.0,0.99,3.6336694180758466,13.300074515243848,0.30490740310249476,0.08391170687837468,-0.10275693882959713,True
3,4,3,7.5,0.95,3.6336694180758466,13.300074515243848,0.30490740310249476,0.08391170687837468,-0.10275693882959713,True
3,4,3,9.0,0.95,3.6336694180758466,13.300074515243848,0.30490740310249476,0.08391170687837468,-0.10275693882959713,True
3,4,3,7.5,0.99,3.6336694180758466,13.300074515243848,0.30490740310249476,0.08391170687837468,-0.10275693882959713,True
3,4,3,9.0,0.99,3.6336694180758466,13.300074515243848,0.30490740310249476,0.08391170687837468,-0.10275693882959713,True
2,5,3,6.0,0.95,3.6091759542019037,13.674258877924107,0.308283692213287,0.08541664250377555,-0.11535539331663591,True
2,5,3,7.5,0.95,3.6091759542019037,13.674258877924107,0.308283692213287,0.08541664250377555,-0.11535539331663591,True
2,5,3,6.0,0.99,3.6091759542019037,13.674258877924107,0.308283692213287,0.08541664250377555,-0.11535539331663591,True
2,5,3,9.0,0.99,3.6091759542019037,13.674258877924107,0.308283692213287,0.08541664250377555,-0.11535539331663591,True
2,5,3,9.0,0.95,3.6091759542019037,13.674258877924107,0.308283692213287,0.08541664250377555,-0.11535539331663591,True
2,5,3,7.5,0.99,3.6091759542019037,13.674258877924107,0.308283692213287,0.08541664250377555,-0.11535539331663591,True
3,4,4,6.0,0.95,3.6072775354515914,13.084726332716507,0.30292808237580426,0.083976927031172,-0.10275693882959624,True
3,4,4,6.0,0.99,3.6072775354515914,13.084726332716507,0.30292808237580426,0.083976927031172,-0.10275693882959624,True
3,4,4,7.5,0.95,3.6072775354515914,13.084726332716507,0.30292808237580426,0.083976927031172,-0.10275693882959624,True
3,4,4,7.5,0.99,3.6072775354515914,13.084726332716507,0.30292808237580426,0.083976927031172,-0.10275693882959624,True
3,4,4,9.0,0.95,3.6072775354515914,13.084726332716507,0.30292808237580426,0.083976927031172,-0.10275693882959624,True
3,4,4,9.0,0.99,3.6072775354515914,13.084726332716507,0.30292808237580426,0.083976927031172,-0.10275693882959624,True
3,4,5,6.0,0.95,3.6038768872201588,13.025071387273766,0.302374961565937,0.08390268897314447,-0.11032246442223592,True
3,4,5,6.0,0.99,3.6038768872201588,13.025071387273766,0.302374961565937,0.08390268897314447,-0.11032246442223592,True
3,4,5,9.0,0.99,3.6038768872201588,13.025071387273766,0.302374961565937,0.08390268897314447,-0.11032246442223592,True
3,4,5,9.0,0.95,3.6038768872201588,13.025071387273766,0.302374961565937,0.08390268897314447,-0.11032246442223592,True
3,4,5,7.5,0.99,3.6038768872201588,13.025071387273766,0.302374961565937,0.08390268897314447,-0.11032246442223592,True
3,4,5,7.5,0.95,3.6038768872201588,13.025071387273766,0.302374961565937,0.08390268897314447,-0.11032246442223592,True
2,5,4,6.0,0.95,3.6017514578326364,13.599776245109698,0.30761785643777073,0.08540785227387139,-0.11535539331663613,True
2,5,4,6.0,0.99,3.6017514578326364,13.599776245109698,0.30761785643777073,0.08540785227387139,-0.11535539331663613,True
