MM_A_LENGTH,MM_B_LENGTH,sharpe_ratio,cumulative_return,annualized_return,annualized_volatility,max_drawdown,success
17,7,0.5004292229803896,0.49822472229059045,0.04127314061673881,0.08247548049038733,-0.12134500218320587,True
17,5,0.49313407550358246,0.4866531012006008,0.04046577837668708,0.0820583698974035,-0.11351213917034342,True
18,5,0.4731401697682158,0.4625486211245222,0.03876566427034245,0.0819327268055324,-0.10356598594729305,True
17,6,0.4694085584422739,0.4606366560105797,0.038629734300289265,0.08229448229167684,-0.12097664690829113,True
16,5,0.4660551973235505,0.4505944114165559,0.037913147011230386,0.08134904884433648,-0.10845716607213762,True
19,5,0.4656929704108292,0.4567372792576456,0.038352013499378,0.08235471852955882,-0.10537148516823758,True
18,6,0.46286028478886754,0.45292059655075256,0.038079533663628595,0.0822700389621859,-0.11056032146666006,True
20,5,0.45082889621113237,0.43948005421713,0.03711483297110574,0.08232576323972833,-0.10793277952505487,True
19,4,0.43947738719801005,0.4269810480268095,0.036210409209834316,0.08239424886159029,-0.10921558807372644,True
20,4,0.43920798064836386,0.42474295762492975,0.03604770962502735,0.08207435022426803,-0.11720750743150365,True
18,7,0.43913527273707725,0.4268843565122358,0.03620338489896047,0.08244244347148233,-0.11011632472109045,True
15,5,0.4354256225694657,0.4168716946108908,0.035473669654260354,0.0814689531702996,-0.1033646843680962,True
18,8,0.4339834813150366,0.4200626553137634,0.03570672692247112,0.08227669591080806,-0.09966042241189199,True
17,8,0.4274047249192446,0.4114470382828026,0.035076384338323274,0.08206831205469414,-0.10869471875397341,True
17,3,0.42541937635393207,0.40637431342967556,0.034703628136821596,0.0815750999266887,-0.12178090668209218,True
18,9,0.4243962799358086,0.4106768772642928,0.03501986873378771,0.08251690787460386,-0.110670723808865,True
19,6,0.4234213836760299,0.40931952057617593,0.03492019617430708,0.08247149889110321,-0.1095036291600977,True
19,8,0.4172296809263067,0.4033334916675724,0.034479600654793385,0.08263937641790962,-0.1189272538008399,True
18,4,0.41446820813405255,0.39518269868948286,0.03387694250710349,0.08173592531890066,-0.1015659969658389,True
16,3,0.41367209104149094,0.3915054296392162,0.03360401256722323,0.08123345348877495,-0.1273646257838673,True
16,7,0.40938101489179207,0.3925425201329653,0.033681051933655226,0.08227311650628896,-0.11376733926104876,True
20,3,0.40778596797166505,0.3913313583163722,0.033591076766027905,0.08237428309049118,-0.12178472902835469,True
16,4,0.40767850505969633,0.38703478821240256,0.033271322237282464,0.08161166660579897,-0.12310543430715415,True
13,4,0.4036252125625129,0.38114547108385954,0.032831582670798554,0.08134175380759606,-0.12547919885788084,True
14,4,0.400038023883516,0.3753913633372765,0.03240030595690446,0.08099306571502028,-0.12809242071803406,True
19,3,0.39778219440918977,0.37787439278302415,0.03258661053663281,0.08192073701295861,-0.10649406852192056,True
17,4,0.3947677914804399,0.37526909305051404,0.032391124057937315,0.08205108105822317,-0.11442563263439898,True
15,7,0.39469530653189194,0.3745357972503556,0.03233604171904059,0.0819265929538683,-0.1268236137407075,True
16,6,0.38901083171623646,0.3693653051432908,0.03194690202624906,0.0821234254205875,-0.11521559120701508,True
14,5,0.38387665253553366,0.35875005384816183,0.031143819053393473,0.0811297557371261,-0.11007681906871558,True
16,11,0.38025916839851664,0.3611703983885386,0.03132742273217248,0.08238439815694576,-0.13988703482519493,True
16,8,0.37989812399140627,0.3598082505715976,0.03122412843949074,0.08219079397243105,-0.12134500218320587,True
20,6,0.37968729543029706,0.3629388240095097,0.03146138715651836,0.08286131122945102,-0.12389864540903617,True
17,10,0.37790324333339087,0.36112108045050717,0.031323684481372016,0.08288810703256622,-0.1307240179503022,True
17,9,0.3770876590145645,0.3565507328216855,0.03097672646083982,0.082147282522559,-0.10616702030908609,True
15,4,0.37554699798415664,0.3506303568839777,0.030525713638572594,0.0812833381771844,-0.1204313985666452,True
19,7,0.3740730529658367,0.35545699018453214,0.030893538983824742,0.08258691380971027,-0.13069951626958642,True
15,6,0.37331136751996097,0.35030419046729766,0.030500814682431487,0.08170341794052283,-0.10910610702822643,True
15,8,0.3674676793619567,0.34438280923185305,0.030047843435117683,0.08177003073383353,-0.12666238106810634,True
14,8,0.3665808097237284,0.3426582772695155,0.029915583324034545,0.08160706324638285,-0.1143216653928103,True
18,3,0.3642533823348922,0.3425094020908752,0.029904158422285665,0.08209713312913586,-0.118890460572876,True
11,7,0.36258136286954035,0.33665724217913917,0.029454149183143485,0.0812345922858184,-0.12825583778689853,True
16,9,0.3615586513859095,0.3401569059727023,0.02972347285917709,0.08220927018408351,-0.1110210339209744,True
14,7,0.35088268836150927,0.32789539041508364,0.028777069655914422,0.08201336403996606,-0.11154972380728645,True
11,5,0.34835211334687505,0.3180961250889722,0.028015043625509106,0.08042162671656553,-0.12118527253236833,True
15,3,0.3407770445286244,0.3113172419537502,0.02748490423251937,0.08065362580551023,-0.12012176985913126,True
14,6,0.3406605063228395,0.3156710238243037,0.027825672195177953,0.08168153243102365,-0.10723522725970192,True
20,8,0.3403715165891994,0.3222300645910323,0.028337133263258263,0.08325353880142347,-0.1474924383072248,True
15,10,0.3382368361920358,0.31597657720336003,0.027849549551132835,0.08233742328207298,-0.1197406260569367,True
15,9,0.3363007018693367,0.3128469890486125,0.027604752516774633,0.08208354119790075,-0.1241170463144382,True
